Wǒ mào le yánhán, huídào xiānggé èrqiān yú lǐ, bièle èrshí yú nián de gùxiāng qù. 	我冒了严寒,回到相隔二千余里,别了二十余年的故乡去。
Tā chūqu le; mǔqin hé wǒ dōu tànxī tā de jǐngkuàng: duō zǐ, jīhuang, kē shuì, bīng, fěi, guān, shēn, dōu kǔ de tā xiàng yī ge mù ǒurén le. Mǔqin duì wǒ shuō, fánshì bùbì bānzǒu de dōngxi, jǐn kěyǐ sòng tā, kěyǐ tīng tā zìjǐ qù jiǎnzé. 	他出去了;母亲和我都叹息他的景况:多子,饥荒,苛税,兵,匪,官,绅,都苦得他像一个木偶人了。母亲对我说,凡是不必搬走的东西,尽可以送他,可以听他自己去拣择。
Xiàwǔ, tā jiǎn hǎole jǐ jiàn dōngxi: liǎng tiáo chángzhuō, sì ge yǐzi, yī fù xiānglú hé zhútái, yī gǎn táichèng. Tā yòuyào suǒyǒu de cǎohuī(wǒmen zhèlǐ zhǔfàn shì shāo dàocǎo de, nà huī, kěyǐ zuò shādì de féiliào), dài wǒmen qǐchéng de shíhou, tāyòng chuán lái zài qù. 	下午,他拣好了几件东西:两条长桌,四个椅子,一副香炉和烛台,一杆抬秤。他又要所有的草灰(我们这里煮饭是烧稻草的,那灰,可以做沙地的肥料),待我们启程的时候,他用船来载去。
Yèjiān, wǒmen yòu tán xiē xián tiān, dōu shì wúguānjǐnyào dehuà; dì-èr tiān zǎochen, tājiù lǐngle Shuǐshēng huíqùle. 	夜间,我们又谈些闲天,都是无关紧要的话;第二天早晨,他就领了水生回去了。
Yòu guò le jiǔrì, shì wǒmen qǐchéng de rìqī. Rùntǔ zǎochen biàn dào le, Shuǐshēng méiyǒu tóng lái, què zhǐ dài zhe yī ge wǔ suì de nǚ'ér guǎnchuán zhī. Wǒmen zhōngrì hěn mánglù, zài méiyǒu tántiān de gōngfū. Láikè yě bùshǎo, yǒu sòngxíng de, yǒu ná dōngxi de, yǒu sòngxíng jiān ná dōngxi de. Dàidào bàngwǎn wǒmen shàngchuán de shíhou, zhè lǎo wū lǐ de suǒyǒu pòjiù dàxiǎo cū-xì dōngxi, yǐjing yīsǎo'érkōng le. 	又过了九日,是我们启程的日期。闰土早晨便到了,水生没有同来,却只带着一个五岁的女儿管船只。我们终日很忙碌,再没有谈天的工夫。来客也不少,有送行的,有拿东西的,有送行兼拿东西的。待到傍晚我们上船的时候,这老屋里的所有破旧大小粗细东西,已经一扫而空了。
Wǒmen de chuán xiàngqián zǒu, liǎng'àn de qīngshān zài huánghūn zhōng, dōu zhuāngchéng le shēn dài yánsè, liánzhe tuì xiàng chuán hòu shāo qù. 	我们的船向前走,两岸的青山在黄昏中,都装成了深黛颜色,连着退向船后梢去。
Hóng'ér hé wǒ kàozhe chuán chuāng, tóng kàn wàimian móhu de fēngjǐng, tā hūrán wèndào: 	宏儿和我靠着船窗,同看外面模糊的风景,他忽然问道:
"Dàbó! Wǒmen shénme shíhou huílai?" 	"大伯!我们什么时候回来?"
"Huílai? Nǐ zěnme hái méiyǒu zǒu jiù xiǎng huílai le." 	"回来?你怎么还没有走就想回来了。"
"Kěshì, Shuǐshēng yuē wǒ dào tājiā wán qù lie...." Tā zhēng zhe dà de hēi yǎnjing, chīchī de xiǎng. 	"可是,水生约我到他家玩去咧……"他睁着大的黑眼睛,痴痴的想。
Wǒ hé mǔqin yě dōu yǒuxiē wǎngrán, yúshì yòu tíqǐ Rùntǔ lái. Mǔqin shuō, nà dòufu Xī Shī de yáng èr sǎo, zìcóng wǒjiā shōushi xínglǐ yǐlái, běn shì měirì bì dào de, qiántiān yī zài huī duī lǐ, tāochū shí duō ge wǎndié lái, yìlùn zhīhòu, biàn dìngshuō shì Rùntǔ mái zhe de, tā kěyǐ zài yùn huī de shíhou, yīqí bān huí jiālǐ qù; yáng èr sǎo fāxiàn le zhè jiàn shì, zìjǐ hěn yǐwéi gōng, biàn ná le nà gǒuqì shā (zhè shì wǒmen zhèlǐ yǎngjī de qìjù, mùpán shàngmian yǒuzhe zhàlan, nèi chéng shíliào, jī kěyǐ shēn jìn jǐngzi qù zhuó, gǒu què bùnéng, zhǐnéng kànzháo qìsǐ), fēiyěsì de pǎo le, kuī yī zhuāng zhe zhème gāodī de xiǎojiǎo, jìng pǎo de zhèyàng kuài. 	我和母亲也都有些惘然,于是又提起闰土来。母亲说,那豆腐西施的杨二嫂,自从我家收拾行李以来,本是每日必到的,前天伊在灰堆里,掏出十多个碗碟来,议论之后,便定说是闰土埋着的,他可以在运灰的时候,一齐搬回家里去;杨二嫂发见了这件事,自己很以为功,便拿了那狗气杀(这是我们这里养鸡的器具,木盘上面有着栅栏,内盛食料,鸡可以伸进颈子去啄,狗却不能,只能看着气死),飞也似的跑了,亏伊装 着这么高低的小脚,竟跑得这样快。
Lǎo wū lí wǒ yù yuǎn le; gùxiāng de shānshuǐ yě dōu jiànjiàn yuǎnlí le wǒ, dàn wǒ què bìngbù gǎndào zěnyàng de liúliàn. Wǒ zhǐ juéde wǒ sìmiàn yǒu kànbujiàn de gāo qiáng, jiāng wǒ gé chéng gūshēn, shǐ wǒ fēicháng qìmèn; nà xīguā dìshàng de yín xiàngquān de xiǎo yīngxióng de yǐngxiàng, wǒ běnlái shífēn qīngchu, xiànzài què hū de móhu le, yòu shǐ wǒ fēicháng de bēi'āi. 	老屋离我愈远了;故乡的山水也都渐渐远离了我,但我却并不感到怎样的留恋。我只觉得我四面有看不见的高墙,将我隔成孤身,使我非常气闷;那西瓜地上的银项圈的小英雄的影像,我本来十分清楚,现在却忽地模糊了,又使我非常的悲哀。
Mǔqin hé Hóng'ér dōu shuìzháo le. 	母亲和宏儿都睡着了。
Wǒ tǎngzhe, tīng chuándǐ chánchán de Shuǐshēng, zhīdao wǒ zài zǒu wǒ de lù. Wǒ xiǎng: wǒ jìng yǔ Rùntǔ géjué dào zhè dìbù le, dàn wǒmen de hòubèi háishi yīqì, Hóng'ér bù shì zhèngzài xiǎngniàn Shuǐshēng me. Wǒ xīwàng tāmen bùzài xiàng wǒ, yòu dàjiā gémó qǐlai ... rán'ér wǒ yòu bù yuànyi tāmen yīnwèi yào yīqì, dōu rú wǒ de xīnkǔ zhǎnzhuǎn ér shēnghuó, yě bù yuànyi tāmen dōu rú Rùntǔ de xīnkǔ mámù ér shēnghuó, yě bù yuànyi dōu rú biéren de xīnkǔ zìsuī ér shēnghuó. Tāmen yīnggāi yǒu xīn de shēnghuó, wéi wǒmen suǒ wèijīng shēnghuó guò de. 	我躺着,听船底潺潺的水声,知道我在走我的路。我想:我竟与闰土隔绝到这地步了,但我们的后辈还是一气,宏儿不是正在想念水生么。我希望他们不再像我,又大家隔膜起来……然而我又不愿意他们因为要一气,都如我的辛苦展转而生活,也不愿意他们都如闰土的辛苦麻木而生活,也不愿意都如别人的辛苦恣睢而生活。他们应该有新的生活,为我们所未经生活过的。
Wǒ xiǎngdào xīwàng, hūrán hàipà qǐlai le. Rùntǔ yào xiānglú hé zhútái de shíhou, wǒ hái àndìli xiào tā, yǐwéi tā zǒngshì chóngbài ǒuxiàng, shénme shíhou dōu bù wàngquè. Xiànzài wǒ suǒwèi xīwàng, bù yěshì wǒzìjǐ shǒu zhì de ǒuxiàng me? Zhǐshì tā de yuànwàng qièjìn, wǒ de yuànwàng máng yuǎn bàle. 	我想到希望,忽然害怕起来了。闰土要香炉和烛台的时候,我还暗地里笑他,以为他总是崇拜偶像,什么时候都不忘却。现在我所谓希望,不也是我自己手制的偶像么?只是他的愿望切近,我的愿望茫远罢了。
Wǒ zài ménglóng zhōng, yǎnqián zhǎnkāi yī piàn hǎibiān bìlǜ de shādì lái, shàngmian shēnlán de tiānkōng zhōng guàzhe yī lún jīnhuáng de yuányuè. Wǒ xiǎng: xīwàng běn shì wúsuǒwèi yǒu, wúsuǒwèi wú de. Zhè zhèngrú dìshàng de lù; qíshí dìshàng běn méiyǒu lù, zǒu de rén duō le, yě biàn chéngle lù. 	我在朦胧中,眼前展开一片海边碧绿的沙地来,上面深蓝的天空中挂着一轮金黄的圆月。我想:希望本是无所谓有,无所谓无的。这正如地上的路;其实地上本没有路,走的人多了,也便成了路。

1921 nián Yīyuè 	
一九二一年一月
